step,s,i,r
0,900,100,0
1,893,100,7
2,888,100,12
3,885,97,18
4,876,101,23
5,872,98,30
6,861,100,39
7,853,102,45
8,844,108,48
9,833,115,52
10,822,119,59
11,816,118,66
12,804,125,71
13,796,127,77
14,792,125,83
15,788,124,88
16,783,120,97
17,776,119,105
18,771,118,111
19,763,122,115
20,756,127,117
21,746,132,122
22,741,131,128
23,734,132,134
24,729,131,140
25,721,136,143
26,716,133,151
27,711,127,162
28,707,128,165
29,701,128,171
30,692,131,177
31,683,132,185
32,672,137,191
33,661,137,202
34,653,138,209
35,648,139,213
36,640,141,219
37,634,139,227
38,631,138,231
39,623,138,239
40,620,134,246
41,612,138,250
42,609,134,257
43,598,136,266
44,590,139,271
45,590,130,280
46,587,129,284
47,585,124,291
48,581,127,292
49,577,127,296
50,571,124,305
51,564,120,316
52,560,118,322
53,554,116,330
54,550,115,335
55,547,111,342
56,543,108,349
57,538,109,353
58,535,106,359
59,530,103,367
60,525,103,372
61,524,98,378
62,521,94,385
63,518,89,393
64,511,91,398
65,506,92,402
66,502,94,404
67,500,94,406
68,497,92,411
69,494,91,415
70,487,92,421
71,485,88,427
72,484,83,433
73,480,85,435
74,479,76,445
75,475,77,448
76,470,79,451
77,469,77,454
78,467,74,459
79,459,79,462
80,456,76,468
81,446,84,470
82,443,87,470
83,438,87,475
84,435,86,479
85,432,85,483
86,431,81,488
87,428,82,490
88,427,77,496
89,421,80,499
90,419,77,504
91,417,73,510
92,416,72,512
93,413,71,516
94,410,67,523
95,406,67,527
96,400,70,530
97,397,71,532
98,392,72,536
99,386,76,538
100,383,77,540
101,379,78,543
102,378,79,543
103,376,78,546
104,373,79,548
105,368,83,549
106,365,82,553
107,365,78,557
108,365,72,563
109,362,72,566
110,359,74,567
111,356,74,570
112,354,74,572
113,352,74,574
114,348,73,579
115,344,76,580
116,340,75,585
117,338,68,594
118,336,67,597
119,333,67,600
120,332,63,605
121,332,61,607
122,327,65,608
123,326,64,610
124,325,62,613
125,322,63,615
126,320,60,620
127,320,58,622
128,319,56,625
129,319,54,627
130,318,54,628
131,318,53,629
132,316,53,631
133,316,49,635
134,313,47,640
135,312,46,642
136,311,43,646
137,310,43,647
138,310,42,648
139,307,44,649
140,306,39,655
141,303,40,657
142,302,40,658
143,301,38,661
144,297,39,664
145,297,37,666
146,297,35,668
147,296,35,669
148,296,31,673
149,296,31,673
150,296,29,675
151,294,30,676
152,294,30,676
153,291,32,677
154,291,30,679
155,290,28,682
156,289,29,682
157,289,28,683
158,287,30,683
159,287,28,685
160,286,27,687
161,286,26,688
162,285,24,691
163,284,21,695
164,284,20,696
165,283,20,697
166,283,18,699
167,282,18,700
168,282,17,701
169,282,17,701
170,282,17,701
171,281,18,701
172,281,18,701
173,281,18,701
174,281,17,702
175,281,17,702
176,281,17,702
177,281,16,703
178,280,15,705
179,280,15,705
180,280,15,705
181,278,16,706
182,278,14,708
183,278,13,709
184,278,11,711
185,278,10,712
186,277,10,713
187,277,10,713
188,277,10,713
189,277,10,713
190,277,10,713
191,276,10,714
192,276,10,714
193,276,10,714
194,276,9,715
195,276,8,716
196,276,8,716
197,276,8,716
198,276,8,716
199,276,8,716
200,276,8,716
201,276,8,716
202,276,7,717
203,276,7,717
204,276,7,717
205,276,7,717
206,276,7,717
207,275,7,718
208,275,6,719
209,275,5,720
210,275,5,720
211,275,5,720
212,275,5,720
213,275,5,720
214,275,4,721
215,275,4,721
216,275,4,721
217,275,4,721
218,275,4,721
219,275,4,721
220,275,4,721
221,275,4,721
222,275,3,722
223,275,3,722
224,275,3,722
225,275,2,723
226,275,2,723
227,275,2,723
228,275,2,723
229,275,2,723
230,275,2,723
231,275,2,723
232,275,2,723
233,275,2,723
234,275,2,723
235,275,2,723
236,275,2,723
237,275,2,723
238,275,2,723
239,275,2,723
240,275,2,723
241,275,2,723
242,275,2,723
243,275,2,723
244,275,1,724
245,275,1,724
246,275,1,724
247,274,2,724
248,274,2,724
249,274,2,724
250,274,2,724
251,274,2,724
252,274,2,724
253,274,2,724
254,274,2,724
255,274,2,724
256,274,2,724
257,274,2,724
258,274,2,724
259,274,2,724
260,274,2,724
261,274,2,724
262,273,3,724
263,273,2,725
264,273,2,725
265,273,2,725
266,273,2,725
267,273,1,726
268,273,1,726
269,273,1,726
270,273,1,726
271,273,1,726
272,273,1,726
273,273,1,726
274,273,1,726
275,273,1,726
276,273,1,726
277,273,1,726
278,273,1,726
279,273,1,726
280,273,1,726
281,273,1,726
282,273,0,727
